index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops,Additional_info,Price
3472,Akasa Air,2019-01-12,Nagpur,Bhubaneswar,NAG-BHU,17:27,03:17,11h 30min,non-stop,1 Long layover,6870
3473,Air India,2019-09-16,Chennai,Mumbai,CHE-MUM,10:11,08:30,15h 45min,non-stop,Red-eye flight,10267
3474,SpiceJet,2023-03-08,Raipur,Surat,RAI-MUM-SUR,15:50,06:21,15h 15min,1 stop,In-flight meal not included,8783
3475,Akasa Air,2019-04-20,Pune,Kolkata,PUN-AHM-HYD-NAG-KOL,08:33,06:55,8h 15min,3 stops,1 Long layover,15236
3476,SpiceJet,2020-09-21,Hyderabad,Bhubaneswar,HYD-AHM-BHU,09:08,17:15,7h 15min,1 stop,In-flight meal not included,12064
3477,AirAsia India,2019-01-05,Varanasi,Jaipur,VAR-JAI,22:33,22:44,7h 0min,non-stop,Limited seats,11979
3478,SpiceJet,2022-05-15,Kolkata,Hyderabad,KOL-HYD,07:40,23:13,14h 15min,non-stop,Red-eye flight,4142
3479,Star Air,2025-07-05,Nagpur,Surat,NAG-SUR,13:37,22:38,6h 15min,non-stop,Red-eye flight,7903
3480,SpiceJet,2022-01-18,Goa,Bhubaneswar,GOA-JAI-BHU,12:35,11:17,12h 45min,1 stop,1 Long layover,6874
3481,Alliance Air,2020-08-23,Mumbai,Chennai,MUM-PAT-AHM-CHE,04:11,01:23,7h 0min,2 stops,Business class available,7766
3482,Alliance Air,2025-12-24,Bhubaneswar,Patna,BHU-PAT,00:18,07:23,7h 30min,non-stop,1 Long layover,7686
3483,SpiceJet,2021-03-03,Goa,Bangalore,GOA-BAN,15:03,23:09,9h 0min,non-stop,In-flight meal not included,9681
3484,TruJet,2024-02-03,Lucknow,Patna,LUC-MUM-PAT,23:38,23:42,3h 30min,1 stop,New aircraft,10385
3485,IndiGo,2024-04-26,Surat,Ahmedabad,SUR-AHM,15:59,10:48,11h 45min,non-stop,1 Long layover,3909
3486,TruJet,2023-10-13,Varanasi,Lucknow,VAR-LUC,06:00,13:22,11h 45min,non-stop,New aircraft,6700
3487,Vistara,2025-12-15,Raipur,Jaipur,RAI-NAG-JAI,04:38,23:57,1h 30min,1 stop,Extra baggage allowed,4541
3488,GoAir,2021-04-01,Cochin,Pune,COC-PUN,21:48,01:29,11h 45min,non-stop,1 Long layover,5199
3489,GoAir,2022-10-27,Kolkata,Bhubaneswar,KOL-MUM-BHU,19:02,20:16,6h 30min,1 stop,1 Long layover,6504
3490,Akasa Air,2025-05-12,Kolkata,Chennai,KOL-CHE,03:34,11:30,8h 45min,non-stop,In-flight meal not included,4657
3491,Alliance Air,2022-08-13,Indore,Varanasi,IND-VAR,04:43,06:38,15h 15min,non-stop,Business class available,7476
3492,GoAir,2025-09-07,Indore,Mumbai,IND-MUM,16:12,05:40,9h 30min,non-stop,Business class available,7932
3493,SpiceJet,2020-12-02,Varanasi,Chennai,VAR-RAI-CHE,20:45,14:26,14h 0min,1 stop,In-flight meal not included,10291
3494,GoAir,2024-12-09,Surat,Bhubaneswar,SUR-AHM-BHU,21:47,10:45,15h 0min,1 stop,Limited seats,9892
3495,GoAir,2023-02-06,Surat,Pune,SUR-AHM-PUN,23:57,00:49,6h 30min,1 stop,Extra baggage allowed,11836
3496,Alliance Air,2023-07-03,Chennai,Varanasi,CHE-PAT-VAR,02:00,13:02,3h 15min,1 stop,New aircraft,5165
3497,AirAsia India,2022-01-07,Patna,Kolkata,PAT-DEL-KOL,12:57,21:41,14h 30min,1 stop,Business class available,11217
3498,Akasa Air,2020-02-19,Mumbai,Goa,MUM-AHM-DEL-GOA,18:47,15:05,5h 45min,2 stops,1 Long layover,10051
3499,SpiceJet,2023-10-12,Lucknow,Goa,LUC-GOA,10:50,18:43,13h 0min,non-stop,Limited seats,10148
3500,IndiGo,2025-10-25,Lucknow,Varanasi,LUC-MUM-RAI-VAR,10:24,19:58,14h 45min,2 stops,1 Long layover,6499
3501,Star Air,2022-05-20,Lucknow,Chennai,LUC-CHE,18:42,11:34,10h 0min,non-stop,Limited seats,7348
3502,IndiGo,2022-11-06,Hyderabad,Surat,HYD-PAT-NAG-SUR,06:24,14:34,4h 45min,2 stops,Red-eye flight,5872
3503,TruJet,2021-10-03,Indore,Jaipur,IND-CHE-BAN-JAI,19:31,18:46,10h 0min,2 stops,No info,13693
3504,Vistara,2022-01-06,Pune,Lucknow,PUN-IND-RAI-PAT-LUC,00:47,12:03,7h 30min,3 stops,1 Long layover,10166
3505,Air India,2019-07-16,Kolkata,Mumbai,KOL-BAN-SUR-RAI-MUM,03:34,13:19,9h 30min,3 stops,WiFi available,15537
3506,IndiGo,2019-01-10,Kolkata,Mumbai,KOL-MUM,08:23,07:02,11h 0min,non-stop,WiFi available,3742
3507,IndiGo,2020-02-14,Ahmedabad,Hyderabad,AHM-IND-COC-HYD,19:02,03:02,14h 45min,2 stops,New aircraft,13078
3508,GoAir,2023-06-06,Kolkata,Goa,KOL-NAG-JAI-GOA,09:22,00:25,15h 45min,2 stops,Limited seats,6240
3509,IndiGo,2021-07-11,Kolkata,Bangalore,KOL-BHU-VAR-BAN,03:24,08:27,15h 15min,2 stops,In-flight meal not included,13403
3510,AirAsia India,2022-08-21,Guwahati,Kolkata,GUW-KOL,11:51,14:25,11h 45min,non-stop,Limited seats,7700
3511,SpiceJet,2019-12-25,Ahmedabad,Bhubaneswar,AHM-PAT-HYD-KOL-BHU,15:53,19:34,2h 30min,3 stops,No info,12357
3512,Star Air,2019-12-14,Kolkata,Mumbai,KOL-MUM,04:33,10:26,15h 45min,non-stop,Business class available,10770
3513,GoAir,2021-10-16,Varanasi,Mumbai,VAR-LUC-PUN-GOA-MUM,07:24,02:50,9h 0min,3 stops,Business class available,14209
3514,TruJet,2022-02-05,Guwahati,Varanasi,GUW-CHE-PUN-VAR,12:21,06:05,8h 30min,2 stops,No info,13886
3515,AirAsia India,2022-09-10,Raipur,Surat,RAI-GOA-LUC-KOL-SUR,23:12,12:40,2h 30min,3 stops,WiFi available,7526
3516,Star Air,2023-10-03,Varanasi,Indore,VAR-IND,06:46,17:26,6h 30min,non-stop,New aircraft,5373
3517,IndiGo,2020-07-02,Lucknow,Patna,LUC-PUN-AHM-PAT,06:09,13:15,14h 45min,2 stops,Limited seats,8966
3518,SpiceJet,2024-11-26,Raipur,Indore,RAI-CHE-JAI-IND,15:26,15:32,4h 15min,2 stops,No info,9394
3519,Akasa Air,2022-07-24,Kolkata,Bangalore,KOL-PAT-BAN,06:52,13:44,11h 45min,1 stop,New aircraft,7485
3520,Alliance Air,2024-07-16,Jaipur,Patna,JAI-SUR-PAT,10:29,13:46,12h 30min,1 stop,New aircraft,5414
3521,AirAsia India,2021-06-13,Patna,Mumbai,PAT-MUM,23:15,09:58,4h 15min,non-stop,No info,7416
3522,Air India,2025-01-13,Raipur,Mumbai,RAI-MUM,19:30,18:10,15h 45min,non-stop,No info,11540
3523,Alliance Air,2024-12-06,Bangalore,Ahmedabad,BAN-AHM,17:07,03:04,10h 0min,non-stop,Red-eye flight,3739
3524,Star Air,2022-08-24,Guwahati,Ahmedabad,GUW-LUC-COC-AHM,00:48,03:21,10h 45min,2 stops,Limited seats,10730
3525,Vistara,2024-11-19,Jaipur,Pune,JAI-KOL-IND-SUR-PUN,16:39,16:08,2h 45min,3 stops,Limited seats,7817
3526,IndiGo,2022-09-12,Patna,Surat,PAT-COC-IND-SUR,11:39,23:36,3h 0min,2 stops,Limited seats,11704
3527,GoAir,2024-08-13,Varanasi,Kolkata,VAR-KOL,11:33,20:49,5h 30min,non-stop,WiFi available,4998
3528,GoAir,2024-09-09,Hyderabad,Kolkata,HYD-BAN-KOL,02:22,05:21,14h 15min,1 stop,New aircraft,5478
3529,Alliance Air,2021-08-02,Guwahati,Mumbai,GUW-PUN-LUC-MUM,14:43,08:42,7h 0min,2 stops,In-flight meal not included,5245
3530,Alliance Air,2025-09-03,Mumbai,Chennai,MUM-HYD-AHM-CHE,18:09,20:51,5h 15min,2 stops,In-flight meal not included,13290
3531,AirAsia India,2019-11-09,Patna,Ahmedabad,PAT-HYD-PUN-AHM,05:52,16:32,11h 15min,2 stops,WiFi available,7256
3532,Air India,2025-02-16,Guwahati,Hyderabad,GUW-HYD,00:15,17:31,8h 15min,non-stop,No info,7647
3533,IndiGo,2019-02-27,Indore,Chennai,IND-CHE,00:15,17:59,1h 45min,non-stop,New aircraft,2850
3534,Vistara,2024-09-25,Hyderabad,Raipur,HYD-RAI,22:07,15:08,8h 0min,non-stop,In-flight meal not included,5138
3535,IndiGo,2022-12-18,Bhubaneswar,Cochin,BHU-IND-MUM-JAI-COC,23:49,17:33,2h 0min,3 stops,No info,11546
3536,Air India,2021-06-16,Bangalore,Guwahati,BAN-GUW,20:28,07:42,12h 15min,non-stop,Red-eye flight,11709
3537,SpiceJet,2020-06-04,Varanasi,Ahmedabad,VAR-PAT-AHM,04:27,05:16,5h 30min,1 stop,1 Long layover,7753
3538,Star Air,2020-08-25,Nagpur,Guwahati,NAG-SUR-AHM-PUN-GUW,17:40,21:48,9h 15min,3 stops,In-flight meal not included,8854
3539,AirAsia India,2023-05-10,Indore,Delhi,IND-KOL-RAI-PAT-DEL,18:58,18:07,4h 0min,3 stops,New aircraft,9744
3540,SpiceJet,2023-06-08,Lucknow,Nagpur,LUC-PUN-DEL-MUM-NAG,05:15,03:13,1h 30min,3 stops,No info,7846
3541,IndiGo,2020-07-21,Delhi,Nagpur,DEL-KOL-IND-MUM-NAG,17:33,23:25,4h 0min,3 stops,1 Long layover,7288
3542,Air India,2025-12-19,Kolkata,Bangalore,KOL-BAN,01:30,14:18,12h 30min,non-stop,WiFi available,11381
3543,SpiceJet,2021-08-23,Goa,Chennai,GOA-CHE,15:36,11:53,8h 45min,non-stop,Red-eye flight,3417
3544,TruJet,2021-05-17,Pune,Mumbai,PUN-MUM,17:24,09:16,2h 15min,non-stop,Extra baggage allowed,7058
3545,Air India,2020-09-14,Indore,Cochin,IND-COC,22:03,17:45,3h 0min,non-stop,In-flight meal not included,8986
3546,Akasa Air,2022-03-19,Jaipur,Pune,JAI-GOA-SUR-PUN,22:14,00:56,5h 30min,2 stops,Red-eye flight,13727
3547,SpiceJet,2022-09-13,Hyderabad,Raipur,HYD-NAG-RAI,15:55,08:22,13h 0min,1 stop,1 Long layover,7903
3548,Air India,2019-04-17,Mumbai,Raipur,MUM-VAR-DEL-BHU-RAI,05:09,15:45,14h 45min,3 stops,Business class available,16494
3549,TruJet,2022-07-18,Surat,Ahmedabad,SUR-GUW-PUN-LUC-AHM,04:18,18:52,12h 0min,3 stops,In-flight meal not included,8273
3550,SpiceJet,2020-03-28,Goa,Lucknow,GOA-GUW-LUC,08:22,14:33,8h 45min,1 stop,WiFi available,11421
3551,Star Air,2019-02-04,Mumbai,Ahmedabad,MUM-AHM,21:34,15:29,5h 30min,non-stop,Business class available,6070
3552,Air India,2022-11-08,Delhi,Surat,DEL-IND-KOL-BHU-SUR,13:19,10:50,15h 30min,3 stops,Business class available,12590
3553,Air India,2024-03-27,Ahmedabad,Patna,AHM-BHU-GOA-PAT,23:24,20:48,6h 15min,2 stops,In-flight meal not included,7533
3554,GoAir,2019-09-15,Delhi,Guwahati,DEL-MUM-GUW,17:46,13:59,8h 0min,1 stop,Business class available,12338
3555,Star Air,2024-01-05,Jaipur,Lucknow,JAI-GUW-LUC,09:25,11:05,10h 15min,1 stop,Extra baggage allowed,3481
3556,GoAir,2021-04-25,Kolkata,Patna,KOL-DEL-COC-PAT,09:57,13:10,4h 0min,2 stops,1 Long layover,9419
3557,Star Air,2019-03-25,Cochin,Chennai,COC-KOL-CHE,12:13,04:38,3h 15min,1 stop,In-flight meal not included,13692
3558,Star Air,2025-05-04,Indore,Surat,IND-CHE-SUR,12:04,19:47,14h 15min,1 stop,In-flight meal not included,4239
3559,GoAir,2022-05-15,Surat,Chennai,SUR-LUC-DEL-MUM-CHE,07:18,17:15,4h 30min,3 stops,No info,12027
3560,Air India,2020-03-11,Chennai,Jaipur,CHE-VAR-JAI,18:49,09:50,13h 15min,1 stop,Red-eye flight,3544
3561,GoAir,2023-01-26,Varanasi,Jaipur,VAR-NAG-JAI,04:49,15:00,12h 0min,1 stop,No info,12074
3562,TruJet,2019-02-04,Guwahati,Kolkata,GUW-BAN-KOL,08:53,23:16,2h 30min,1 stop,1 Long layover,5251
3563,Akasa Air,2025-07-09,Patna,Lucknow,PAT-CHE-IND-COC-LUC,11:03,18:51,4h 30min,3 stops,Limited seats,9102
3564,Alliance Air,2019-11-03,Guwahati,Lucknow,GUW-GOA-NAG-LUC,10:06,19:48,6h 45min,2 stops,1 Long layover,8035
3565,Star Air,2024-11-26,Goa,Hyderabad,GOA-JAI-VAR-HYD,18:49,22:46,4h 30min,2 stops,New aircraft,5743
3566,SpiceJet,2025-06-13,Nagpur,Varanasi,NAG-VAR,08:05,00:31,1h 15min,non-stop,1 Long layover,9725
3567,AirAsia India,2021-12-24,Chennai,Kolkata,CHE-KOL,07:36,21:09,1h 30min,non-stop,Business class available,3231
3568,AirAsia India,2021-11-02,Jaipur,Delhi,JAI-IND-COC-KOL-DEL,14:22,07:03,15h 30min,3 stops,New aircraft,12784
3569,Akasa Air,2023-06-06,Hyderabad,Raipur,HYD-NAG-CHE-RAI,06:15,15:14,12h 30min,2 stops,1 Long layover,7115
3570,Star Air,2023-06-23,Hyderabad,Guwahati,HYD-PAT-GUW,20:33,21:09,12h 45min,1 stop,Business class available,11761
3571,AirAsia India,2020-08-23,Patna,Jaipur,PAT-JAI,04:19,15:02,7h 30min,non-stop,Business class available,11256
3572,Akasa Air,2020-08-13,Chennai,Raipur,CHE-AHM-VAR-RAI,01:33,10:04,10h 15min,2 stops,In-flight meal not included,6190
3573,IndiGo,2024-06-01,Lucknow,Pune,LUC-RAI-GUW-PUN,20:44,03:40,12h 15min,2 stops,No info,7344
3574,Star Air,2022-12-17,Mumbai,Ahmedabad,MUM-AHM,01:04,01:02,13h 0min,non-stop,In-flight meal not included,4010
3575,Vistara,2023-07-10,Ahmedabad,Varanasi,AHM-VAR,11:32,19:51,4h 15min,non-stop,Business class available,6905
3576,IndiGo,2023-04-01,Varanasi,Guwahati,VAR-PUN-CHE-BHU-GUW,05:08,01:02,6h 0min,3 stops,New aircraft,13193
3577,Alliance Air,2022-03-17,Chennai,Surat,CHE-IND-BAN-HYD-SUR,03:47,11:01,4h 15min,3 stops,Red-eye flight,7888
3578,Alliance Air,2025-01-03,Guwahati,Bangalore,GUW-DEL-BAN,15:29,17:59,15h 45min,1 stop,Extra baggage allowed,6791
3579,SpiceJet,2024-04-27,Patna,Raipur,PAT-DEL-COC-JAI-RAI,18:27,18:18,15h 0min,3 stops,Business class available,14942
3580,Star Air,2020-01-01,Mumbai,Raipur,MUM-RAI,08:11,20:43,13h 15min,non-stop,1 Long layover,7802
3581,AirAsia India,2019-07-17,Patna,Raipur,PAT-GUW-MUM-NAG-RAI,10:10,06:59,6h 45min,3 stops,1 Long layover,14296
3582,SpiceJet,2023-03-05,Bhubaneswar,Surat,BHU-RAI-SUR,00:14,04:11,5h 15min,1 stop,No info,12281
3583,AirAsia India,2024-10-18,Raipur,Cochin,RAI-IND-HYD-GOA-COC,13:27,08:47,7h 45min,3 stops,In-flight meal not included,15029
3584,Vistara,2021-05-21,Hyderabad,Cochin,HYD-COC,21:28,05:25,11h 30min,non-stop,New aircraft,11757
3585,Alliance Air,2022-08-14,Nagpur,Varanasi,NAG-BAN-LUC-VAR,14:33,14:36,2h 0min,2 stops,WiFi available,8547
3586,Akasa Air,2025-07-22,Surat,Lucknow,SUR-LUC,01:53,07:58,14h 15min,non-stop,Red-eye flight,11191
3587,Akasa Air,2025-05-15,Hyderabad,Kolkata,HYD-PAT-PUN-KOL,13:03,15:24,1h 45min,2 stops,Business class available,8198
3588,Vistara,2021-07-27,Delhi,Kolkata,DEL-LUC-KOL,22:10,00:12,4h 15min,1 stop,No info,4987
3589,TruJet,2021-11-08,Bhubaneswar,Patna,BHU-BAN-DEL-GOA-PAT,22:52,06:18,8h 15min,3 stops,1 Long layover,12393
3590,Star Air,2025-11-25,Indore,Bangalore,IND-MUM-BAN,19:55,06:17,1h 30min,1 stop,In-flight meal not included,10195
3591,SpiceJet,2022-11-23,Guwahati,Bangalore,GUW-BAN,13:45,12:38,13h 45min,non-stop,In-flight meal not included,10604
3592,Alliance Air,2023-10-21,Ahmedabad,Hyderabad,AHM-HYD,22:21,05:02,8h 15min,non-stop,Limited seats,3612
3593,SpiceJet,2025-08-24,Surat,Raipur,SUR-BHU-RAI,19:46,08:01,10h 45min,1 stop,In-flight meal not included,8412
3594,TruJet,2023-09-19,Guwahati,Mumbai,GUW-BAN-LUC-MUM,05:42,13:46,12h 30min,2 stops,Limited seats,11157
3595,SpiceJet,2019-07-21,Patna,Ahmedabad,PAT-BHU-AHM,13:55,13:16,4h 30min,1 stop,WiFi available,10384
3596,SpiceJet,2025-03-23,Hyderabad,Jaipur,HYD-JAI,06:30,21:56,3h 45min,non-stop,1 Long layover,10928
3597,Akasa Air,2019-06-12,Guwahati,Jaipur,GUW-GOA-PUN-DEL-JAI,20:43,06:50,14h 15min,3 stops,In-flight meal not included,13813
3598,Akasa Air,2022-12-25,Ahmedabad,Jaipur,AHM-JAI,21:22,12:14,7h 15min,non-stop,New aircraft,3985
3599,IndiGo,2025-12-13,Jaipur,Kolkata,JAI-CHE-KOL,09:32,20:39,9h 0min,1 stop,No info,4666
3600,Air India,2021-12-19,Patna,Guwahati,PAT-KOL-LUC-BAN-GUW,12:38,10:50,3h 45min,3 stops,Red-eye flight,9885
3601,IndiGo,2023-09-15,Hyderabad,Guwahati,HYD-JAI-MUM-DEL-GUW,19:06,11:52,6h 30min,3 stops,Red-eye flight,13915
3602,Star Air,2023-12-28,Nagpur,Raipur,NAG-RAI,00:10,04:27,5h 30min,non-stop,In-flight meal not included,10216
3603,Akasa Air,2019-02-24,Cochin,Nagpur,COC-BHU-HYD-MUM-NAG,22:03,12:57,7h 45min,3 stops,Business class available,16448
3604,SpiceJet,2025-01-14,Bangalore,Cochin,BAN-NAG-HYD-CHE-COC,10:25,12:11,13h 30min,3 stops,Extra baggage allowed,11791
3605,IndiGo,2023-10-09,Goa,Raipur,GOA-NAG-RAI,03:51,15:15,7h 30min,1 stop,Extra baggage allowed,4108
3606,Akasa Air,2024-03-24,Varanasi,Delhi,VAR-JAI-PUN-DEL,15:58,22:26,9h 15min,2 stops,New aircraft,13051
3607,TruJet,2023-10-09,Cochin,Indore,COC-PUN-GOA-NAG-IND,10:30,09:07,13h 0min,3 stops,In-flight meal not included,14504
3608,Akasa Air,2019-11-20,Chennai,Bangalore,CHE-BAN,21:07,19:38,15h 30min,non-stop,Extra baggage allowed,4003
3609,IndiGo,2019-11-06,Bhubaneswar,Ahmedabad,BHU-AHM,22:56,04:11,7h 45min,non-stop,WiFi available,2555
3610,Akasa Air,2025-05-22,Delhi,Nagpur,DEL-RAI-COC-BHU-NAG,11:51,14:35,11h 15min,3 stops,Business class available,14660
3611,AirAsia India,2023-06-05,Bhubaneswar,Goa,BHU-AHM-PAT-GOA,14:37,23:58,15h 30min,2 stops,In-flight meal not included,11215
3612,AirAsia India,2020-02-03,Patna,Jaipur,PAT-IND-BAN-JAI,14:02,02:57,7h 30min,2 stops,No info,5978
3613,Alliance Air,2023-07-22,Goa,Kolkata,GOA-IND-KOL,23:08,10:49,14h 30min,1 stop,1 Long layover,10327
3614,SpiceJet,2019-09-09,Bhubaneswar,Lucknow,BHU-AHM-LUC,03:24,03:11,13h 15min,1 stop,No info,12370
3615,IndiGo,2025-06-09,Nagpur,Cochin,NAG-PUN-CHE-VAR-COC,22:22,07:42,13h 15min,3 stops,No info,12624
3616,Air India,2023-09-03,Cochin,Pune,COC-HYD-PUN,08:23,00:36,8h 0min,1 stop,Business class available,8409
3617,SpiceJet,2025-07-26,Surat,Cochin,SUR-KOL-HYD-MUM-COC,11:12,16:56,9h 15min,3 stops,In-flight meal not included,17591
3618,Star Air,2021-10-17,Jaipur,Mumbai,JAI-COC-MUM,00:37,19:54,10h 30min,1 stop,No info,4773
3619,GoAir,2024-08-16,Lucknow,Goa,LUC-IND-GOA,20:09,16:56,3h 45min,1 stop,Business class available,5997
3620,Alliance Air,2020-08-14,Varanasi,Mumbai,VAR-MUM,20:27,19:30,13h 0min,non-stop,Limited seats,4891
3621,AirAsia India,2024-10-08,Goa,Varanasi,GOA-JAI-NAG-AHM-VAR,05:42,03:25,1h 15min,3 stops,1 Long layover,17485
3622,Vistara,2020-12-23,Jaipur,Guwahati,JAI-MUM-LUC-GUW,18:58,04:37,4h 45min,2 stops,Red-eye flight,11623
3623,GoAir,2023-08-01,Cochin,Indore,COC-KOL-RAI-IND,04:06,08:40,10h 45min,2 stops,Limited seats,11975
3624,IndiGo,2024-06-24,Cochin,Bangalore,COC-HYD-BAN,06:04,22:27,15h 45min,1 stop,WiFi available,6719
3625,AirAsia India,2022-03-28,Jaipur,Guwahati,JAI-COC-AHM-GUW,03:04,07:44,11h 45min,2 stops,1 Long layover,14350
3626,TruJet,2024-04-20,Varanasi,Delhi,VAR-COC-DEL,11:13,15:36,1h 30min,1 stop,New aircraft,7242
3627,IndiGo,2025-05-24,Cochin,Jaipur,COC-JAI,04:08,17:49,6h 30min,non-stop,Red-eye flight,3800
3628,Star Air,2019-06-06,Nagpur,Surat,NAG-AHM-PAT-SUR,09:25,16:49,5h 15min,2 stops,In-flight meal not included,8691
3629,AirAsia India,2020-08-08,Delhi,Kolkata,DEL-IND-AHM-KOL,18:59,08:46,11h 15min,2 stops,In-flight meal not included,10419
3630,Akasa Air,2019-11-24,Patna,Pune,PAT-CHE-PUN,14:54,10:10,14h 45min,1 stop,Limited seats,6106
3631,Alliance Air,2021-09-27,Indore,Guwahati,IND-GUW,09:01,05:15,13h 30min,non-stop,No info,9165
3632,Alliance Air,2021-11-24,Ahmedabad,Patna,AHM-PUN-PAT,08:25,20:30,2h 45min,1 stop,New aircraft,8178
3633,Star Air,2022-11-17,Nagpur,Patna,NAG-LUC-RAI-PAT,13:25,21:06,10h 15min,2 stops,Limited seats,10391
3634,SpiceJet,2021-02-10,Ahmedabad,Raipur,AHM-NAG-BHU-RAI,14:13,20:12,4h 30min,2 stops,Business class available,6652
3635,GoAir,2021-12-08,Goa,Bangalore,GOA-IND-AHM-BAN,14:13,16:17,10h 30min,2 stops,No info,12898
3636,Vistara,2021-07-04,Indore,Chennai,IND-GOA-CHE,00:47,18:54,7h 15min,1 stop,Limited seats,5819
3637,SpiceJet,2025-02-27,Jaipur,Nagpur,JAI-COC-NAG,17:35,12:55,8h 30min,1 stop,1 Long layover,3280
3638,IndiGo,2025-06-02,Ahmedabad,Cochin,AHM-VAR-RAI-GOA-COC,11:16,17:06,3h 15min,3 stops,No info,11901
3639,Vistara,2020-03-25,Varanasi,Ahmedabad,VAR-AHM,20:11,10:56,3h 15min,non-stop,Extra baggage allowed,7410
3640,AirAsia India,2024-06-27,Delhi,Varanasi,DEL-GOA-CHE-VAR,14:12,01:11,8h 15min,2 stops,Red-eye flight,7237
3641,GoAir,2025-05-11,Raipur,Varanasi,RAI-JAI-BAN-DEL-VAR,06:04,01:05,12h 0min,3 stops,No info,11154
3642,Akasa Air,2024-05-16,Nagpur,Jaipur,NAG-JAI,08:05,19:15,8h 45min,non-stop,New aircraft,6011
3643,TruJet,2024-04-21,Guwahati,Surat,GUW-CHE-PAT-IND-SUR,13:27,09:33,15h 45min,3 stops,Extra baggage allowed,13755
3644,TruJet,2022-02-27,Mumbai,Goa,MUM-PAT-COC-GOA,18:34,18:05,13h 30min,2 stops,WiFi available,8701
3645,Alliance Air,2024-01-26,Jaipur,Varanasi,JAI-CHE-NAG-MUM-VAR,16:40,11:55,4h 15min,3 stops,New aircraft,13690
3646,AirAsia India,2024-07-14,Raipur,Delhi,RAI-SUR-DEL,21:19,21:48,12h 15min,1 stop,No info,6455
3647,Akasa Air,2019-04-18,Lucknow,Cochin,LUC-KOL-JAI-BHU-COC,18:05,14:35,7h 0min,3 stops,Business class available,12499
3648,Star Air,2022-01-04,Hyderabad,Lucknow,HYD-BHU-LUC,20:22,07:37,3h 15min,1 stop,In-flight meal not included,6094
3649,Akasa Air,2022-01-03,Mumbai,Bangalore,MUM-PAT-VAR-SUR-BAN,17:12,02:56,3h 30min,3 stops,1 Long layover,7455
3650,Star Air,2019-01-19,Ahmedabad,Nagpur,AHM-KOL-JAI-SUR-NAG,19:06,08:38,5h 15min,3 stops,Business class available,7451
3651,Alliance Air,2023-01-04,Mumbai,Pune,MUM-COC-LUC-VAR-PUN,03:32,13:11,13h 0min,3 stops,New aircraft,16605
3652,IndiGo,2022-10-28,Bhubaneswar,Pune,BHU-VAR-BAN-PUN,10:16,11:45,11h 15min,2 stops,Extra baggage allowed,13132
3653,SpiceJet,2023-09-23,Lucknow,Cochin,LUC-GUW-COC,05:38,18:13,8h 0min,1 stop,Business class available,11925
3654,Air India,2025-02-13,Delhi,Lucknow,DEL-LUC,10:55,11:25,2h 30min,non-stop,Red-eye flight,5993
3655,Vistara,2025-10-28,Pune,Lucknow,PUN-RAI-LUC,14:14,04:40,4h 30min,1 stop,Extra baggage allowed,6281
3656,IndiGo,2023-09-15,Jaipur,Chennai,JAI-CHE,08:13,20:35,5h 0min,non-stop,Limited seats,8833
3657,TruJet,2019-06-07,Ahmedabad,Indore,AHM-IND,12:54,05:50,2h 0min,non-stop,Limited seats,3204
3658,Akasa Air,2025-01-08,Pune,Patna,PUN-PAT,01:54,11:17,8h 0min,non-stop,In-flight meal not included,10069
3659,Air India,2023-06-27,Kolkata,Cochin,KOL-COC,05:12,14:26,7h 0min,non-stop,1 Long layover,4304
3660,Alliance Air,2023-08-05,Raipur,Ahmedabad,RAI-AHM,14:51,15:58,2h 15min,non-stop,In-flight meal not included,7245
3661,Air India,2023-02-02,Delhi,Bhubaneswar,DEL-BHU,22:50,17:33,2h 30min,non-stop,WiFi available,6182
3662,AirAsia India,2024-12-22,Raipur,Pune,RAI-GOA-VAR-CHE-PUN,05:37,03:38,12h 45min,3 stops,1 Long layover,11178
3663,Akasa Air,2021-11-08,Chennai,Raipur,CHE-DEL-BHU-RAI,11:27,06:49,15h 30min,2 stops,1 Long layover,9796
3664,AirAsia India,2024-09-12,Bangalore,Kolkata,BAN-KOL,01:47,03:57,15h 45min,non-stop,Extra baggage allowed,8251
3665,Air India,2020-08-17,Bhubaneswar,Mumbai,BHU-PUN-MUM,16:57,18:59,12h 45min,1 stop,Limited seats,11479
3666,IndiGo,2019-04-26,Bangalore,Delhi,BAN-GUW-NAG-DEL,17:32,16:36,12h 0min,2 stops,Business class available,13752
3667,GoAir,2022-05-05,Cochin,Nagpur,COC-NAG,04:19,12:06,4h 30min,non-stop,Red-eye flight,6470
3668,AirAsia India,2024-07-05,Varanasi,Guwahati,VAR-IND-PUN-JAI-GUW,10:47,01:38,10h 0min,3 stops,Red-eye flight,15121
3669,AirAsia India,2019-10-28,Patna,Lucknow,PAT-GOA-LUC,02:54,21:41,2h 15min,1 stop,Limited seats,11630
3670,AirAsia India,2024-04-04,Pune,Surat,PUN-NAG-BAN-PAT-SUR,20:03,11:26,8h 15min,3 stops,WiFi available,13516
3671,Vistara,2020-06-22,Varanasi,Ahmedabad,VAR-LUC-BHU-KOL-AHM,09:09,19:00,3h 15min,3 stops,New aircraft,6722
3672,SpiceJet,2020-06-07,Kolkata,Guwahati,KOL-HYD-PUN-NAG-GUW,11:32,17:16,11h 0min,3 stops,New aircraft,13701
3673,IndiGo,2025-06-10,Raipur,Cochin,RAI-COC,15:05,23:46,13h 45min,non-stop,Extra baggage allowed,5529
